created_at,temp,hum,light
2025-11-06T20:26:10Z,0.0,66.0,0
2025-11-06T20:26:41Z,25.0,58.0,0
2025-11-06T20:27:11Z,25.0,59.0,0
2025-11-06T20:27:42Z,25.0,59.0,0
2025-11-06T20:28:12Z,25.0,58.0,0
2025-11-06T20:28:43Z,25.0,58.0,0
2025-11-06T20:29:14Z,24.9,59.0,0
2025-11-06T20:29:44Z,24.9,68.0,0
2025-11-06T20:30:15Z,25.6,63.0,0
2025-11-06T20:30:45Z,25.8,60.0,0
2025-11-06T20:31:16Z,28.5,95.0,0
2025-11-06T20:31:46Z,27.1,77.0,0
2025-11-06T20:32:17Z,26.7,60.0,0
2025-11-06T20:32:48Z,26.2,64.0,0
2025-11-06T20:33:18Z,26.2,67.0,0
2025-11-06T20:33:49Z,26.1,59.0,0
2025-11-06T20:34:19Z,25.8,58.0,0
2025-11-06T20:34:50Z,25.6,58.0,0
2025-11-06T20:35:21Z,25.5,59.0,0
2025-11-06T20:35:52Z,25.3,59.0,0
2025-11-06T20:36:22Z,25.2,59.0,0
2025-11-06T20:36:53Z,25.2,60.0,0
2025-11-06T20:37:23Z,25.1,60.0,0
2025-11-06T20:37:54Z,25.1,60.0,0
2025-11-06T20:38:26Z,25.0,60.0,0
2025-11-06T20:38:58Z,25.0,61.0,0
2025-11-06T20:39:28Z,24.9,60.0,0
2025-11-06T20:39:59Z,25.0,61.0,0
2025-11-06T20:40:29Z,24.9,61.0,0
2025-11-06T20:41:00Z,24.9,61.0,0
2025-11-06T20:41:31Z,25.2,69.0,0
2025-11-06T20:42:01Z,25.6,60.0,0
2025-11-06T20:42:32Z,25.6,59.0,0
2025-11-06T20:43:02Z,25.5,59.0,0
2025-11-06T20:43:33Z,25.7,80.0,0
2025-11-06T20:44:11Z,27.3,76.0,0
2025-11-06T20:44:41Z,27.5,64.0,0
2025-11-06T20:45:12Z,27.7,71.0,0
2025-11-06T20:45:43Z,28.4,91.0,0
2025-11-06T20:46:13Z,28.7,88.0,0
2025-11-06T20:46:44Z,29.1,87.0,0
2025-11-06T20:47:14Z,29.3,74.0,100
2025-11-06T20:47:45Z,29.3,62.0,0
2025-11-06T20:48:16Z,29.5,75.0,0
2025-11-06T20:48:46Z,29.6,81.0,0
2025-11-06T20:49:17Z,29.7,78.0,0
2025-11-06T20:49:47Z,29.7,62.0,0
2025-11-06T20:50:18Z,29.2,54.0,0
2025-11-06T20:50:48Z,28.7,50.0,0
2025-11-06T20:51:20Z,28.3,54.0,0
2025-11-06T20:51:50Z,28.6,68.0,0
2025-11-06T20:52:21Z,28.6,56.0,12
2025-11-06T20:52:51Z,28.5,57.0,91
2025-11-06T20:53:22Z,28.3,52.0,1
2025-11-06T20:53:53Z,27.9,52.0,25
2025-11-06T20:54:23Z,27.6,53.0,25
2025-11-06T20:54:54Z,27.2,54.0,26
2025-11-06T20:55:24Z,27.0,54.0,24
2025-11-06T20:55:55Z,26.8,55.0,23
2025-11-06T20:56:26Z,26.5,56.0,24
2025-11-06T20:57:04Z,0.0,66.0,24
2025-11-06T20:57:36Z,0.0,66.0,13
2025-11-06T20:58:12Z,26.1,57.0,16
2025-11-06T20:58:43Z,26.0,58.0,17
2025-11-06T20:59:14Z,25.8,58.0,17
2025-11-06T20:59:44Z,25.7,58.0,15
2025-11-06T21:00:15Z,25.8,62.0,28
2025-11-06T21:00:45Z,26.1,67.0,9
2025-11-06T21:01:16Z,26.7,87.0,10
2025-11-06T21:01:47Z,26.9,59.0,9
2025-11-06T21:02:17Z,26.6,57.0,20
2025-11-06T21:02:48Z,26.7,93.0,21
2025-11-06T21:03:18Z,26.9,58.0,26
2025-11-06T21:03:49Z,26.8,71.0,18
2025-11-06T21:04:24Z,27.4,88.0,17
2025-11-06T21:04:55Z,27.9,59.0,19
2025-11-06T21:05:52Z,0.0,66.0,20
2025-11-06T21:06:25Z,27.9,56.0,0
2025-11-06T21:06:56Z,28.2,78.0,0
2025-11-06T21:07:26Z,28.2,57.0,17
2025-11-06T21:07:57Z,28.5,55.0,18
2025-11-06T21:08:27Z,28.0,54.0,20
2025-11-06T21:08:58Z,27.6,54.0,22
2025-11-06T21:09:28Z,27.4,72.0,24
2025-11-06T21:09:59Z,27.4,71.0,30
2025-11-06T21:10:30Z,27.8,83.0,29
2025-11-06T21:11:00Z,27.7,57.0,10
2025-11-06T21:11:36Z,0.0,66.0,18
2025-11-06T21:12:07Z,27.6,62.0,20
2025-11-06T21:12:37Z,27.6,56.0,28
2025-11-06T21:13:08Z,27.3,54.0,28
2025-11-06T21:13:51Z,27.0,55.0,28
2025-11-06T21:14:57Z,26.3,67.0,28
